"Trade ID";"Status";"Counterparty";"Timestamp";"B/S";"Instrument";"Tenor";"Price";"CommissionPriceShift (pts)";"Value Date 1";"First Rate";"Amount";"Contra Amount";"Value Date 2";"Second Amount";"Second Contra Amount";"Base Quantity";"Source Name";"Trader";"Account";"Counterparty Trader";"Counterparty Account";"Type";"Comment";"Reference ID";"Order ID";"Operation ID";"Operation Level";"External";"Ext Order Id";"Ext Exec Id";"Ext Client Id";"Responsible";"Initiator Id";"Initiator";"Send to STP";"Send to STP(Removed)"
"14061092";"0";"NTF1";"2019.04.17 17:07:00.540";"Sell";"EURUSD";"SPOT";"1.12966";"";"2019.04.23";"";"100000";"112966";"";"";"";"true";"PG_Ntfx";"Legostev_AGR";"Legostev_AGR";"ALFA_NtfxPG";"ALFA_NtfxPG";"Exchange";"";"";"ec410c19-2437-4475-a179-3bfd9e35e941";"4e4a54dd-5c8c-4ead-b423-a954e05dbea3";"0";"true";"";"";"";"";"655";"Legostev_AGR";"true";""
"14061136";"0";"CATX";"2019.04.17 17:07:56.784";"Sell";"EURUSD";"SPOT";"1.12967";"";"2019.04.23";"";"259000";"292584.53";"";"";"";"true";"Executor_Chartex PK";"AlfaBankExecutor";"AlfaBankExecutor";"CATX00_09_OM";"Chartex Sales Ltd (ALGO)";"Exchange";"";"";"2cca6dab-a012-4038-9d31-df25a6b25637";"90be1eac-bbe0-4cde-85d6-f806f117a5fc";"0";"true";"";"";"";"";"2080";"CATX00_09_OM";"true";""
"14061143";"0";"REBM";"2019.04.17 17:08:18.774";"Sell";"EURRUB";"TOM";"72.2066";"";"2019.04.18";"";"200000";"14441320";"";"";"";"true";"Executor_ALFA FX MSK T/O free";"AlfaBankExecutor";"AlfaBankExecutor";"REBM_OM";"RosEuroBank (Sovkom)";"Exchange";"";"";"1452f7da-3a0f-431e-a6da-35a136a3fa01";"ddeedf53-2099-4071-bc2c-e1846546735d";"0";"true";"";"";"";"";"1333";"REBM_OM";"true";""
"14061147";"0";"RONI";"2019.04.17 17:08:18.807";"Sell";"USDRUB";"TOM";"63.9542791";"";"2019.04.18";"";"1000000";"63954279.1";"";"";"";"true";"Executor_ALGO_Pos";"ALFN_OmegExecutor";"ALFN_OmegExecutor";"RONI01_00_OM";"Ronin Europe LTD Ldn";"Exchange";"";"";"aa4b650b-ca3f-4abf-9e04-12628c2abdef";"45242786-f850-44d5-82b9-9f796de0cce3";"0";"true";"";"";"";"";"2259";"RONI01_00_OM";"true";""
"14061154";"0";"UBSL";"2019.04.17 17:08:32.256";"Sell";"USDRUB";"TOM";"63.951";"";"2019.04.18";"";"500000";"31975500";"";"";"";"true";"Executor_ALFA FX LND T/O free";"ALFN_ExecutorLnd";"ALFN_ExecutorLnd";"UBSL04_00_OM";"ALFN_FastmatchCL_NY";"Exchange";"";"";"9a9380ad-3712-4f5a-85bd-493e89818063";"2c87c632-c618-4e10-ab2f-9c063ae82e25";"0";"true";"";"";"";"";"4606";"UBSL04_00_OM";"true";""
"14061156";"0";"UBSL";"2019.04.17 17:08:32.256";"Sell";"USDRUB";"TOM";"63.951";"";"2019.04.18";"";"100000";"6395100";"";"";"";"true";"Executor_ALFA FX LND T/O free";"ALFN_ExecutorLnd";"ALFN_ExecutorLnd";"UBSL09_00_OM";"ALFN_FastmatchCL_LND";"Exchange";"";"";"a027a31a-6fb2-4661-bbef-4083f5e507fd";"d7c844f4-e9f9-4309-b274-4887c2cd0df7";"0";"true";"";"";"";"";"4925";"UBSL09_00_OM";"true";""
"14061158";"0";"RZBV";"2019.04.17 17:08:36.650";"Sell";"AUDNZD";"SPOT";"1.06752";"";"2019.04.23";"";"826000";"881771.52";"";"";"";"true";"Executor_Bierbaum PK";"Executor_RZBV_PB";"Executor_RZBV_PB";"PARABELLUM00_00_OM";"RZBV6";"Exchange";"";"";"bd16812a-5686-4926-975a-754a69731839";"c4a7f9cc-477c-4452-95c4-6dde95d42064";"0";"true";"";"";"ABC";"";"4068";"PARABELLUM00_00_OM";"true";""
"14061179";"0";"JPML";"2019.04.17 17:09:15.935";"Sell";"GBPUSD";"SPOT";"1.30347";"";"2019.04.23";"";"400000";"521388";"";"";"";"true";"JPMorganLnd";"ALFN_AggregatorCoverer";"ALFN_AggregatorCoverer";"ALFN_JPMorganLP";"ALFN_JPMorganLP";"Exchange";"";"";"d7018724-392a-48f1-a861-30b4ac3ae157";"6f708395-883a-439d-93b5-315fbc5068a0";"2";"true";"AYmU1xGEaEelmT6pMThRQBA";"AYmU1xGEaEelmT6pMThRQBA";"";"";"1288";"ABOT_AGR2_OM";"true";""
"14061181";"0";"UBSL";"2019.04.17 17:09:25.736";"Sell";"USDRUB";"TOM";"63.9325";"";"2019.04.18";"";"300000";"19179750";"";"";"";"true";"Executor_ALFA FX LND T/O free";"ALFN_ExecutorLnd";"ALFN_ExecutorLnd";"UBSL04_00_OM";"ALFN_FastmatchCL_NY";"Exchange";"";"";"be6bbaa4-8c4e-4ee4-8cdb-c3c67c289894";"df03e0ae-c33e-40c5-9e78-76c9e790a70d";"0";"true";"";"";"";"";"4606";"UBSL04_00_OM";"true";""
"14061185";"0";"ROSX";"2019.04.17 17:10:06.098";"Sell";"EURRUB";"TOM";"72.1839";"";"2019.04.18";"";"27800";"2006712.42";"";"";"";"true";"Executor_ALFA FX MSK T/O free";"AlfaBankExecutor";"AlfaBankExecutor";"ROSX1_OM";"RosBank1";"Exchange";"";"";"07e95d44-8116-4139-adde-6be30b45b3ac";"0bbb4b64-787f-48a2-850b-739f3a812436";"0";"true";"";"";"";"";"1082";"ROSX1_OM";"true";""
"14061187";"0";"RONI";"2019.04.17 17:10:32.782";"Sell";"GBPUSD";"SPOT";"1.30307607";"";"2019.04.23";"";"500000";"651538.04";"";"";"";"true";"Executor_ALGO_Pos";"ALFN_OmegExecutor";"ALFN_OmegExecutor";"RONI01_00_OM";"Ronin Europe LTD Ldn";"Exchange";"";"";"c7ff9332-a505-4ffd-ac02-8e72c25df734";"582fa0d1-191b-488a-aace-3564ffcef889";"0";"true";"";"";"";"";"2259";"RONI01_00_OM";"true";""
