,AdapterTime,BidPx,AskPx
0,2019-03-15 13:30:00.045915,1.13135,1.1314
1,2019-03-15 13:30:00.053891,1.13136,1.1314
2,2019-03-15 13:30:00.059988,1.13136,1.13141
3,2019-03-15 13:30:00.119834,1.13137,1.13141
4,2019-03-15 13:30:00.124790,1.13136,1.1314
5,2019-03-15 13:30:00.129729,1.13135,1.1314
6,2019-03-15 13:30:00.141118,1.13136,1.1314
7,2019-03-15 13:30:00.165876,1.13136,1.1314
8,2019-03-15 13:30:00.174389,1.13136,1.13141
9,2019-03-15 13:30:00.179410,1.13136,1.1314
10,2019-03-15 13:30:00.184436,1.13137,1.13141
11,2019-03-15 13:30:00.189417,1.13136,1.13141
12,2019-03-15 13:30:00.194402,1.13136,1.1314
13,2019-03-15 13:30:00.230906,1.13136,1.1314
14,2019-03-15 13:30:00.235872,1.13136,1.1314
15,2019-03-15 13:30:00.250803,1.13136,1.13141
16,2019-03-15 13:30:00.320764,1.13136,1.13141
17,2019-03-15 13:30:00.354598,1.13137,1.13141
18,2019-03-15 13:30:00.359568,1.13136,1.13141
19,2019-03-15 13:30:00.364561,1.13137,1.13141
20,2019-03-15 13:30:00.369652,1.13137,1.13142
21,2019-03-15 13:30:00.415820,1.13136,1.13141
22,2019-03-15 13:30:00.445373,1.13136,1.13141
23,2019-03-15 13:30:00.450428,1.13137,1.13141
24,2019-03-15 13:30:00.515763,1.13136,1.13141
25,2019-03-15 13:30:00.523007,1.13137,1.13141
26,2019-03-15 13:30:00.565790,1.13137,1.13141
27,2019-03-15 13:30:00.645866,1.13137,1.13142
28,2019-03-15 13:30:00.670508,1.13137,1.13141
29,2019-03-15 13:30:00.987240,1.13137,1.13142
30,2019-03-15 13:30:01.271463,1.13138,1.13143
31,2019-03-15 13:30:01.286739,1.13138,1.13144
32,2019-03-15 13:30:01.295943,1.13139,1.13144
33,2019-03-15 13:30:01.345816,1.13139,1.13143
34,2019-03-15 13:30:01.365451,1.13138,1.13143
35,2019-03-15 13:30:01.375824,1.13139,1.13143
36,2019-03-15 13:30:02.070906,1.13139,1.13144
37,2019-03-15 13:30:02.500809,1.13139,1.13144
38,2019-03-15 13:30:02.575384,1.13139,1.13144
39,2019-03-15 13:30:02.890815,1.1314,1.13145
40,2019-03-15 13:30:03.045505,1.1314,1.13145
41,2019-03-15 13:30:03.151186,1.13139,1.13144
42,2019-03-15 13:30:03.755507,1.1314,1.13145
43,2019-03-15 13:30:04.282277,1.13139,1.13144
44,2019-03-15 13:30:04.805760,1.1314,1.13145
45,2019-03-15 13:30:06.131454,1.1314,1.13145
46,2019-03-15 13:30:07.205805,1.13139,1.13144
47,2019-03-15 13:30:07.210795,1.13138,1.13144
48,2019-03-15 13:30:07.215821,1.13137,1.13143
49,2019-03-15 13:30:07.220900,1.13137,1.13142
50,2019-03-15 13:30:07.270750,1.13138,1.13143
51,2019-03-15 13:30:07.305781,1.13137,1.13142
52,2019-03-15 13:30:07.366104,1.13138,1.13143
53,2019-03-15 13:30:07.371027,1.13137,1.13142
54,2019-03-15 13:30:07.376092,1.13137,1.13142
55,2019-03-15 13:30:07.381189,1.13136,1.13141
56,2019-03-15 13:30:07.425655,1.13137,1.13141
57,2019-03-15 13:30:07.446047,1.13136,1.13141
58,2019-03-15 13:30:07.530817,1.13135,1.1314
59,2019-03-15 13:30:07.645488,1.13135,1.13139
60,2019-03-15 13:30:07.702590,1.13135,1.1314
61,2019-03-15 13:30:08.185497,1.13135,1.13139
62,2019-03-15 13:30:08.480917,1.13135,1.1314
63,2019-03-15 13:30:08.560876,1.13135,1.13139
64,2019-03-15 13:30:08.610868,1.13135,1.1314
65,2019-03-15 13:30:08.712471,1.13136,1.13141
66,2019-03-15 13:30:09.293438,1.13136,1.1314
67,2019-03-15 13:30:09.387052,1.13136,1.13141
68,2019-03-15 13:30:09.392071,1.13137,1.13142
69,2019-03-15 13:30:09.411995,1.13138,1.13143
70,2019-03-15 13:30:09.417980,1.13138,1.13143
71,2019-03-15 13:30:09.423000,1.13138,1.13143
72,2019-03-15 13:30:09.461160,1.13138,1.13143
73,2019-03-15 13:30:09.470788,1.13137,1.13142
74,2019-03-15 13:30:09.485783,1.13137,1.13141
75,2019-03-15 13:30:09.490823,1.13137,1.13142
76,2019-03-15 13:30:09.520949,1.13138,1.13143
77,2019-03-15 13:30:09.526220,1.13139,1.13143
78,2019-03-15 13:30:09.531247,1.13138,1.13143
79,2019-03-15 13:30:09.536363,1.13138,1.13143
80,2019-03-15 13:30:09.580386,1.13138,1.13143
81,2019-03-15 13:30:09.595448,1.13138,1.13143
82,2019-03-15 13:30:09.605809,1.13139,1.13143
83,2019-03-15 13:30:09.862296,1.13139,1.13144
84,2019-03-15 13:30:10.045587,1.13139,1.13143
85,2019-03-15 13:30:10.476088,1.13139,1.13144
86,2019-03-15 13:30:10.535098,1.1314,1.13144
87,2019-03-15 13:30:10.566090,1.1314,1.13145
88,2019-03-15 13:30:10.669684,1.1314,1.13144
89,2019-03-15 13:30:10.674633,1.1314,1.13145
90,2019-03-15 13:30:10.701765,1.1314,1.13146
91,2019-03-15 13:30:10.706881,1.13142,1.13147
92,2019-03-15 13:30:10.786481,1.13143,1.13148
93,2019-03-15 13:30:10.791392,1.13143,1.13147
94,2019-03-15 13:30:10.796485,1.13143,1.13148
95,2019-03-15 13:30:10.850923,1.13142,1.13147
96,2019-03-15 13:30:10.929483,1.13143,1.13148
97,2019-03-15 13:30:10.937979,1.13143,1.13148
98,2019-03-15 13:30:10.954793,1.13143,1.13148
99,2019-03-15 13:30:11.130429,1.13143,1.13148
100,2019-03-15 13:30:11.215868,1.13144,1.13148
101,2019-03-15 13:30:11.280037,1.13144,1.13149
102,2019-03-15 13:30:11.285368,1.13144,1.13148
103,2019-03-15 13:30:11.306532,1.13144,1.13149
104,2019-03-15 13:30:11.860766,1.13145,1.13149
105,2019-03-15 13:30:12.002973,1.13145,1.1315
106,2019-03-15 13:30:12.010635,1.13146,1.13151
107,2019-03-15 13:30:12.015859,1.13147,1.13153
108,2019-03-15 13:30:12.020625,1.13148,1.13154
109,2019-03-15 13:30:12.025579,1.13149,1.13154
