,AdapterTime,BidPx,AskPx
99,2019-03-15 13:30:42.067171,1.13164,1.13172
100,2019-03-15 13:30:42.712780,1.13162,1.1317
101,2019-03-15 13:30:42.743423,1.13163,1.13171
102,2019-03-15 13:30:42.753026,1.13161,1.13169
103,2019-03-15 13:30:43.658708,1.13161,1.13167
104,2019-03-15 13:30:45.020107,1.13162,1.13168
105,2019-03-15 13:30:45.887028,1.13163,1.13169
106,2019-03-15 13:30:46.682549,1.13165,1.13169
107,2019-03-15 13:30:46.879140,1.13167,1.13171
108,2019-03-15 13:30:46.935936,1.13165,1.13169
109,2019-03-15 13:30:47.394075,1.13163,1.13167
110,2019-03-15 13:30:48.794632,1.13164,1.13168
111,2019-03-15 13:30:49.797642,1.13162,1.13166
112,2019-03-15 13:30:50.015037,1.13163,1.13167
113,2019-03-15 13:30:51.012035,1.13162,1.13166
114,2019-03-15 13:30:51.702846,1.13163,1.13167
115,2019-03-15 13:30:52.715088,1.13161,1.13167
116,2019-03-15 13:30:53.874558,1.13158,1.13164
117,2019-03-15 13:30:53.892573,1.13159,1.13165
118,2019-03-15 13:30:53.908671,1.13157,1.13163
119,2019-03-15 13:30:53.916239,1.13159,1.13165
120,2019-03-15 13:30:54.006679,1.1316,1.13166
121,2019-03-15 13:30:54.054250,1.13161,1.13167
122,2019-03-15 13:30:54.106440,1.1316,1.13166
123,2019-03-15 13:30:54.710642,1.13162,1.13166
124,2019-03-15 13:30:55.036625,1.13163,1.13167
125,2019-03-15 13:30:56.407194,1.13162,1.13166
126,2019-03-15 13:30:57.008153,1.13161,1.13167
127,2019-03-15 13:30:58.008800,1.13161,1.13167
128,2019-03-15 13:31:01.074302,1.13161,1.13167
129,2019-03-15 13:31:02.277726,1.13162,1.13166
130,2019-03-15 13:31:02.912411,1.13162,1.13166
131,2019-03-15 13:31:03.444787,1.13162,1.13166
132,2019-03-15 13:31:04.552189,1.13161,1.13167
133,2019-03-15 13:31:04.772142,1.1316,1.13166
134,2019-03-15 13:31:04.824179,1.13161,1.13167
135,2019-03-15 13:31:04.937551,1.13163,1.13169
136,2019-03-15 13:31:05.009349,1.13164,1.1317
137,2019-03-15 13:31:05.068613,1.13166,1.13172
138,2019-03-15 13:31:05.797078,1.13164,1.1317
139,2019-03-15 13:31:05.858138,1.13166,1.13172
140,2019-03-15 13:31:06.032183,1.13163,1.13169
141,2019-03-15 13:31:06.205605,1.13162,1.13168
142,2019-03-15 13:31:06.304800,1.13161,1.13167
143,2019-03-15 13:31:06.416307,1.13161,1.13167
144,2019-03-15 13:31:07.010006,1.1316,1.13166
145,2019-03-15 13:31:07.655910,1.13162,1.13166
146,2019-03-15 13:31:10.005584,1.13161,1.13167
147,2019-03-15 13:31:11.862951,1.13161,1.13167
148,2019-03-15 13:31:12.010237,1.13161,1.13167
149,2019-03-15 13:31:12.954336,1.1316,1.13168
150,2019-03-15 13:31:14.008085,1.13161,1.13167
151,2019-03-15 13:31:14.703125,1.1316,1.13166
152,2019-03-15 13:31:14.718209,1.1316,1.13166
153,2019-03-15 13:31:15.015799,1.13161,1.13165
154,2019-03-15 13:31:16.947611,1.13162,1.13166
155,2019-03-15 13:31:17.655661,1.1316,1.13166
156,2019-03-15 13:31:21.012699,1.1316,1.13166
157,2019-03-15 13:31:22.480466,1.1316,1.13166
158,2019-03-15 13:31:23.682360,1.1316,1.13166
159,2019-03-15 13:31:24.015591,1.1316,1.13166
160,2019-03-15 13:31:26.010474,1.13161,1.13167
